sru_type,altitude,visibility,search_object_en,search_object_size,sweep_width
FIXED,150,15,SHIP,92,20.60
FIXED,150,20,PIW,1,0.10
FIXED,150,20,POWERBOAT,5,1.80
FIXED,150,20,POWERBOAT,6,4.80
FIXED,150,20,POWERBOAT,10,7.70
FIXED,150,20,POWERBOAT,16,13.10
FIXED,150,20,POWERBOAT,24,16.70
FIXED,150,20,RAFT,1,1.40
FIXED,150,20,RAFT,4,2.20
FIXED,150,20,RAFT,6,2.80
FIXED,150,20,RAFT,8,2.90
FIXED,150,20,RAFT,10,3.20
FIXED,150,20,RAFT,15,3.60
FIXED,150,20,RAFT,20,4.20
FIXED,150,20,RAFT,25,4.60
FIXED,150,20,SAILBOAT,5,4.30
FIXED,150,20,SAILBOAT,8,7.00
FIXED,150,20,SAILBOAT,12,11.90
FIXED,150,20,SAILBOAT,15,13.70
FIXED,150,20,SAILBOAT,21,15.50
FIXED,150,20,SAILBOAT,25,17.00
FIXED,150,20,SHIP,27,20.10
FIXED,150,20,SHIP,46,20.10
FIXED,150,20,SHIP,47,24.70
FIXED,150,20,SHIP,91,24.70
FIXED,150,20,SHIP,92,27.90
FIXED,300,1,PIW,1,0.00
FIXED,300,1,POWERBOAT,5,0.40
FIXED,300,1,POWERBOAT,6,0.50
FIXED,300,1,POWERBOAT,10,0.50
FIXED,300,1,POWERBOAT,16,0.60
FIXED,300,1,POWERBOAT,24,0.60
FIXED,300,1,RAFT,1,0.30
FIXED,300,1,RAFT,4,0.30
FIXED,300,1,RAFT,6,0.40
FIXED,300,1,RAFT,8,0.40
FIXED,300,1,RAFT,10,0.40
FIXED,300,1,RAFT,15,0.40
FIXED,300,1,RAFT,20,0.40
FIXED,300,1,RAFT,25,0.40
FIXED,300,1,SAILBOAT,5,0.50
FIXED,300,1,SAILBOAT,8,0.50
FIXED,300,1,SAILBOAT,12,0.60
FIXED,300,1,SAILBOAT,15,0.60
FIXED,300,1,SAILBOAT,21,0.60
FIXED,300,1,SAILBOAT,25,0.60
FIXED,300,1,SHIP,27,0.60
FIXED,300,1,SHIP,46,0.60
FIXED,300,1,SHIP,47,0.60
FIXED,300,1,SHIP,91,0.60
FIXED,300,1,SHIP,92,0.60
FIXED,300,3,PIW,1,0.10
FIXED,300,3,POWERBOAT,5,1.00
FIXED,300,3,POWERBOAT,6,1.70
FIXED,300,3,POWERBOAT,10,2.20
FIXED,300,3,POWERBOAT,16,2.70
FIXED,300,3,POWERBOAT,24,2.80
FIXED,300,3,RAFT,1,0.70
FIXED,300,3,RAFT,4,1.00
FIXED,300,3,RAFT,6,1.10
FIXED,300,3,RAFT,8,1.20
FIXED,300,3,RAFT,10,1.30
FIXED,300,3,RAFT,15,1.40
FIXED,300,3,RAFT,20,1.50
FIXED,300,3,RAFT,25,1.60
FIXED,300,3,SAILBOAT,5,1.60
FIXED,300,3,SAILBOAT,8,2.10
FIXED,300,3,SAILBOAT,12,2.60
FIXED,300,3,SAILBOAT,15,2.70
FIXED,300,3,SAILBOAT,21,2.80
FIXED,300,3,SAILBOAT,25,2.80
FIXED,300,3,SHIP,27,2.90
FIXED,300,3,SHIP,46,2.90
FIXED,300,3,SHIP,47,3.00
FIXED,300,3,SHIP,91,3.00
FIXED,300,3,SHIP,92,3.00
FIXED,300,5,PIW,1,0.10
FIXED,300,5,POWERBOAT,5,1.30
FIXED,300,5,POWERBOAT,6,2.50
FIXED,300,5,POWERBOAT,10,3.40
FIXED,300,5,POWERBOAT,16,4.50
FIXED,300,5,POWERBOAT,24,5.10
FIXED,300,5,RAFT,1,0.90
FIXED,300,5,RAFT,4,1.30
FIXED,300,5,RAFT,6,1.60
FIXED,300,5,RAFT,8,1.70
FIXED,300,5,RAFT,10,1.80
FIXED,300,5,RAFT,15,2.00
FIXED,300,5,RAFT,20,2.20
FIXED,300,5,RAFT,25,2.30
FIXED,300,5,SAILBOAT,5,2.30
FIXED,300,5,SAILBOAT,8,3.20
FIXED,300,5,SAILBOAT,12,4.30
FIXED,300,5,SAILBOAT,15,4.60
FIXED,300,5,SAILBOAT,21,4.90
FIXED,300,5,SAILBOAT,25,5.10
FIXED,300,5,SHIP,27,5.40
FIXED,300,5,SHIP,46,5.40
FIXED,300,5,SHIP,47,5.70
FIXED,300,5,SHIP,91,5.70
FIXED,300,5,SHIP,92,5.80
FIXED,300,10,PIW,1,0.10
FIXED,300,10,POWERBOAT,5,1.70
FIXED,300,10,POWERBOAT,6,3.70
FIXED,300,10,POWERBOAT,10,5.40
FIXED,300,10,POWERBOAT,16,8.20
FIXED,300,10,POWERBOAT,24,9.80
FIXED,300,10,RAFT,1,1.20
FIXED,300,10,RAFT,4,1.80
FIXED,300,10,RAFT,6,2.20
FIXED,300,10,RAFT,8,2.40
